sro,page_p2,page_p4,serial,vcode,village_hi,pargana_hi,category,nonagri_lt9m,nonagri_9to12m,nonagri_12to18m,nonagri_ge18m,covered_ordinary,covered_premium,shop,office,godown,agri_nh,agri_state_district,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sarojininagar2,32,47,74,,भटगावं,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,50,44,,50,35,
sarojininagar2,32,47,75,,भदरूख,0005 बिजनौर,,13000,14000,15000,16000,26000,28000,40000,35000,30000,,410,390,,410,310,
sarojininagar2,32,47,76,,भदोई,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,50,44,,50,35,
sarojininagar2,32,47,77,,भौकापुर,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,50,44,,50,35,
sarojininagar2,32,47,78,,मदारपुर,0113 परगना काकोरी,,2500,2700,3300,3800,20000,22000,25000,24000,23000,,56,50,,56,42,serial printed as 78* (footnote: clerical error corrected per SR report)
sarojininagar2,32,47,79,,मदारी खेड़ा,0010 हिन्दनगर,,10000,11000,12000,13000,24000,26000,37000,30000,27000,,440,394,,440,315,
sarojininagar2,32,47,80,,मवई पड़ियाना,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,50,44,,50,35,
sarojininagar2,32,47,81,,मान सरोवर योजना,0010 हिन्दनगर,,21000,22000,23000,24000,26000,28000,45000,35000,29000,,,,,,,
sarojininagar2,32,47,82,,मानस नगर,0204 सरोजनी नगर वार्ड,,8500,9000,9500,10000,24000,26000,29000,28000,27000,,,,,,,
sarojininagar2,32,47,83,,मिर्जापुर लुटौवा,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,42,38,,42,30,
sarojininagar2,32,47,84,,मिश्रा पुरम कॉलोनी,0303 सरोजनी नगर वार्ड,,13000,18000,19000,20000,24000,26000,32000,28000,27000,,,,,,,
sarojininagar2,33,48,85,,मीरानपुर पिनवट,0101 बिजनौर,,6500,7100,7800,8500,20000,22000,25000,24000,23000,,154,138,,154,110,
sarojininagar2,33,48,86,,मीरानपुर पिनवट (पार्थ रिपब्लिक),0101 बिजनौर,,20000,21000,22000,23000,26000,28000,31000,30000,29000,,,,,,,name cut off in P4 (printed 'मीरानपुर पिनवट (पार्थ रिपबि'); completed from P2
sarojininagar2,33,48,87,,मुरली नगर,0268 सरोजनी नगर वार्ड,,10000,11000,12000,13000,24000,26000,29000,28000,27000,,,,,,,
sarojininagar2,33,48,88,,मुहम्मदपुर भक्तीखेड़ा,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,42,38,,42,30,
sarojininagar2,33,48,89,,मौंदा,0101 बिजनौर,,6500,7100,7800,8500,20000,22000,25000,24000,23000,,154,138,,154,110,
sarojininagar2,33,48,90,,रहीमनगर पड़ियाना,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,42,38,,42,30,
sarojininagar2,33,48,91,,रहीमाबाद,0003 बिजनौर,,7000,7500,8500,9500,26000,28000,40000,35000,30000,,440,394,,440,315,
sarojininagar2,33,48,92,,राम चौरा,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,50,44,,50,35,
sarojininagar2,33,48,93,,राम विहार कालोनी,0101 बिजनौर,,5500,6000,6600,7200,20000,22000,25000,24000,23000,,,,,,,
sarojininagar2,33,48,94,,रामगढ़ कालोनी,0101 हिन्दनगर,,11000,12000,13000,14000,24000,26000,37000,30000,27000,,,,,,,code 0101 printed with name हिन्दनगर (code/name mismatch as printed)
sarojininagar2,33,48,95,,रामदासपुर,0010 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,42,38,,42,30,code 0010 printed with name बिजनौर (code/name mismatch as printed)
sarojininagar2,33,48,96,,रेवरी,0113 परगना काकोरी,,2500,2700,3300,3800,20000,22000,25000,24000,23000,,94,88,,94,70,
sarojininagar2,33,48,97,,लतीफनगर,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,50,44,,50,35,
sarojininagar2,33,48,98,,लिटरैसी हाऊस,0010 हिन्दनगर,,8500,9000,10000,11000,24000,26000,37000,30000,27000,,370,330,,370,265,
sarojininagar2,34,49,99,,लोनहा,0101 बिजनौर,,2500,2700,3000,3300,18000,20000,23000,22000,21000,,46,44,,46,42,
sarojininagar2,34,49,100,,विष्णुलोक कॉलोनी,0205 सरोजनी नगर वार्ड,,16000,18000,19000,20000,24000,26000,29000,28000,27000,,,,,,,
