sro,page_p2,page_p4,serial,vcode,village_hi,pargana_hi,category,nonagri_lt9m,nonagri_9to12m,nonagri_12to18m,nonagri_ge18m,covered_ordinary,covered_premium,shop,office,godown,agri_nh,agri_state_district,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sadar2,51,132,73,1092,जुग्गौर,ward 111 लखनऊ,अर्द्धनगरीय,7000,8000,8500,9000,25000,27500,30500,26500,25000,,177,158,,177,127,
sadar2,51,132,74,0361,जूतेवाली गली अमीनाबाद,ward 036 अमीनाबाद,नगरीय क्षेत्र,25000,26000,28500,30000,30000,32500,87000,69500,55000,,,,,,,
sadar2,51,132,75,0365,जूरियन टोला (मकबूलगंज),ward 037 यादुनाथ सन्याल रोड,नगरीय क्षेत्र,13000,14000,15000,17000,30000,32500,41500,36000,32000,,,,,,,
sadar2,51,133,76,0297,जम्बूर खाना,ward 031 जगदीश चन्द्र बोस मार्ग,नगरीय क्षेत्र,13000,14000,15000,17000,30000,32500,48000,38500,33000,,,,,,,
sadar2,51,133,77,0229,झलियन पुरवा,ward 027 राजीव गांधी,नगरीय क्षेत्र,9000,9200,10000,11000,30000,32500,38500,35000,33000,,,,,,,
sadar2,51,133,78,0415,टी.जी.सिविल लाइन्स,ward 035 काल्विन कालेज,नगरीय क्षेत्र,25000,27000,28500,31500,30000,32500,48000,44000,38500,,,,,,,
sadar2,52,133,79,0287,डा.श्याम प्रसाद मुखर्जी रोड (नजीराबाद रोड),ward 030 रानी लक्ष्मी बाई,नगरीय क्षेत्र,25000,27000,28500,31500,30000,32500,70500,55000,44000,,,,,,,p4: name cut off in print
sadar2,52,133,80,0263,डालीबाग,ward 029 राजा राम मोहन राय,नगरीय क्षेत्र,25000,27000,28500,31500,30000,32500,61500,49500,39500,,,,,,,
sadar2,52,134,81,0306,डिगडिगा,ward 032 रफी अहमद किदवई नगर (एल0डी0ए0 योजना),नगरीय क्षेत्र,16500,18000,18500,20000,30000,32500,41500,38500,36000,,,,,,,
sadar2,52,134,82,0246,तकवा कठौता,ward 028 चिनहट,नगरीय क्षेत्र,7000,7000,7500,8500,30000,32500,41500,38500,36000,,,,,,,
sadar2,52,134,83,0381,तालाब गगनी शुक्ला,ward 039 नजरबाग,नगरीय क्षेत्र,13000,14000,15000,17000,30000,32500,53000,41500,33000,,,,,,,
sadar2,53,134,84,1064,तेराखास,ward 111 लखनऊ,नगरीय क्षेत्र,5000,5000,5500,6000,25000,27500,23000,22000,20500,,110,98,,110,80,
sadar2,53,134,85,1206,तेराखास (माधवपुरम/माधवग्रीन्स योजना),ward 111 लखनऊ,नगरीय क्षेत्र,9000,10000,11000,12000,30000,32500,23000,22000,20500,,,,,,,p4: name cut off in print
sadar2,53,135,86,0317,तेज बहादुर सप्रू,ward 033 हजरतगंज,नगरीय क्षेत्र,41000,45000,47000,52000,30000,32500,87000,69000,55000,,,,,,,
sadar2,53,135,87,0355,तकिया गनेशगंज,ward 036 अमीनाबाद,नगरीय क्षेत्र,25000,27000,28000,31000,30000,32500,61500,49500,39500,,,,,,,
sadar2,53,135,88,0412,तकिया गणेशगंज,ward 043 गणेशगंज,नगरीय क्षेत्र,25000,27000,28000,31000,30000,32500,61500,49500,39500,,,,,,,
sadar2,53,135,89,0403,तिल पुरवा (नाका हिण्डाला),ward 043 गणेशगंज,नगरीय क्षेत्र,25000,27000,28000,31000,30000,32500,70500,55000,44000,,,,,,,
sadar2,53,135,90,0392,त्रिपाठीनगर (खुर्शेद बाग),ward 041 बशीरतगंज,नगरीय क्षेत्र,15000,16500,17000,18500,22000,24000,53000,41500,33000,,,,,,,covered 22000/24000 lower than other urban wards but clearly printed
sadar2,54,136,91,1107,थावर,ward 111 लखनऊ,ग्रामीण,2500,2800,3100,3500,22000,26500,23000,22000,20500,,84,77,,84,61,premium 26500 breaks rural pattern (22000/24000) but clearly printed
sadar2,54,136,92,1108,देवारिया,ward 111 लखनऊ,नगरीय क्षेत्र,7000,8000,8500,9000,29000,31000,30500,26500,25000,,177,158,,177,127,
sadar2,54,136,93,0391,दुर्विजयगंज,ward 041 बशीरतगंज,नगरीय क्षेत्र,13000,14000,15000,17000,30000,32500,53000,41500,33000,,,,,,,
sadar2,54,136,94,1099,धैला,ward 111 लखनऊ,नगरीय क्षेत्र,8500,9400,10500,11500,25000,27500,35000,30500,28500,,221,198,,221,158,
sadar2,54,136,95,1140,धैला (सहारा सिटी होम्स),ward 111 लखनऊ,नगरीय क्षेत्र,13000,14000,15000,17000,25000,27500,41500,36000,32000,,,,,,,
sadar2,54,137,96,1086,धावाँ,ward 111 लखनऊ,नगरीय क्षेत्र,9000,10000,11000,12000,25000,27500,35000,30500,28000,,221,198,,221,158,p4: godown 28000 (peers 28500) clearly printed
sadar2,54,137,97,1203,धावाँ (राय इन्क्लेव),ward 111 लखनऊ,नगरीय क्षेत्र,10000,10000,11000,12000,25000,27500,59500,47000,36000,,,,,,,
sadar2,54,137,98,0267,न्यू बेरी रोड,ward 029 राजा राम मोहन राय,नगरीय क्षेत्र,20000,22000,22500,24500,30000,32500,59500,47000,38000,,,,,,,
sadar2,55,137,99,0342,न्यू हैदराबाद,ward 035 काल्विन कालेज,नगरीय क्षेत्र,25000,27000,28500,31000,30000,32500,55000,44000,38000,,,,,,,
