sro,page,serial,vcode,village_hi,ward_hi,category,nonagri_lt9m,nonagri_9to18m,nonagri_ge18m,shop,office,godown,agri_nh,agri_state,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
bikapur,51,151,1151,नरोत्तमपुर,,अर्द्धनगरीय,11000,18000,20000,50000,46000,43000,150,110,90,75,100,50,
bikapur,51,152,1152,नन्दरौली,,अर्द्धनगरीय,11000,18000,20000,50000,46000,43000,150,110,90,75,100,50,
bikapur,51,153,1153,नन्दूपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,51,154,1154,नगईपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,51,155,1155,नागपाली,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,51,156,1156,नाभापुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,51,157,1157,नाहरपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,51,158,1158,नासिरपुरमूसी,,अर्द्धनगरीय,12000,21000,28000,65000,60000,55000,160,115,100,90,120,60,
bikapur,51,159,1159,नियाजपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,51,160,1160,नुवांवाबैदरा,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,51,161,1161,नेतवारीचतुरपुर,,ग्रामीण(वि0),7800,9500,11000,44000,39000,34000,138,100,85,68,90,45,
bikapur,51,162,1162,पचगवां,,ग्रामीण(वि0),6300,8800,10300,42000,37000,32000,110,95,75,65,80,40,
bikapur,51,163,1163,पछियाना,,ग्रामीण(वि0),7800,9500,11000,44000,39000,34000,138,100,85,68,90,45,
bikapur,51,164,1164,परोमा,,ग्रामीण(वि0),8000,10000,13000,45000,40000,35000,138,100,85,68,90,45,
bikapur,51,165,1165,पण्डरी,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,52,166,1166,परूआ,,ग्रामीण(वि0),6300,8800,10300,42000,37000,32000,110,95,75,65,80,40,
bikapur,52,167,1167,परवरपारा,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,52,168,1168,पश्चिमपारा,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,52,169,1169,परमानन्दपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,village name identical to V-code 1170 (also so in प्रारूप-1 list); verify
bikapur,52,170,1170,परमानन्दपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,village name identical to V-code 1169 (also so in प्रारूप-1 list); verify
bikapur,52,171,1171,पदारथपुर,,ग्रामीण(वि0),7800,9500,11000,44000,39000,34000,138,100,85,68,90,45,
bikapur,52,172,1172,परसीपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,52,173,1173,परसौलीमु0मुकीमपुर,,ग्रामीण(वि0),6300,8800,10300,42000,37000,32000,110,95,75,65,80,40,
bikapur,52,174,1174,परसावांमहोला,,ग्रामीण(वि0),5500,7500,8500,41000,36000,31000,100,85,65,53,72,36,
bikapur,52,175,1175,परसुही,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,52,176,1176,पकड़ीदुर्गादासपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,52,177,1177,पारागरीबशाह,,ग्रामीण(वि0),8000,10000,13000,45000,40000,35000,138,100,85,68,90,45,
bikapur,52,178,1178,पाराहथिगो,,ग्रामीण(वि0),8000,10000,13000,45000,40000,35000,138,100,85,68,90,45,
bikapur,52,179,1179,पातूपुर,,ग्रामीण(वि0),8000,10000,13000,45000,40000,35000,138,100,85,68,90,45,
bikapur,52,180,1180,पालीपूरब,,ग्रामीण(वि0),6300,8800,10300,42000,37000,32000,110,95,75,65,80,40,
bikapur,52,181,1181,पाराराम,,ग्रामीण(वि0),5500,7500,8500,41000,36000,31000,100,85,65,53,72,36,
bikapur,52,182,1182,पालीअचलपुर,,ग्रामीण(वि0),5500,7500,8500,41000,36000,31000,100,85,65,53,72,36,
bikapur,52,183,1183,पिछौरा,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,52,184,1184,पीथापुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,52,185,1185,प्रतापपुरबरहूपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,52,186,1186,प्रानपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,52,187,1187,पुंहपी,,ग्रामीण(वि0),6300,8800,10300,42000,37000,32000,110,95,75,65,80,40,
bikapur,52,188,1188,पुरूषोत्तमपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,53,189,1189,पूरबपट्टी,,ग्रामीण(वि0),8000,10000,13000,45000,40000,35000,138,100,85,68,90,45,
bikapur,53,190,1190,पूरेबजाज,,ग्रामीण(वि0),6300,8800,10300,42000,37000,32000,110,95,75,65,80,40,
bikapur,53,191,1191,पूरेलाला,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,53,192,1192,पूरेबंशवन,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,53,193,1193,पूरेमनोहर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,53,194,1194,पेड़रा,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,53,195,1195,पौहान,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,53,196,1196,फखरपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,53,197,1197,फतेहपुरकमासिन,,ग्रामीण(वि0),8000,10000,13000,45000,40000,35000,138,100,85,68,90,45,
bikapur,53,198,1198,बरांव,,ग्रामीण(वि0),6300,8800,10300,42000,37000,32000,110,95,75,65,80,40,
bikapur,53,199,1199,बरेहटा,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,53,200,1200,बरौली,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,53,201,1201,बनकट,,ग्रामीण(वि0),6300,8800,10300,42000,37000,32000,110,95,75,65,80,40,
bikapur,53,202,1202,बसन्तपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
bikapur,53,203,1203,बल्लीपुर,,ग्रामीण(वि0),7800,9500,11000,44000,39000,34000,138,100,85,68,90,45,
bikapur,53,204,1204,बल्लीकृपालपुर,,ग्रामीण,5000,7000,8000,35000,32000,29000,95,76,63,50,68,34,
