sro,page,segment_hi,village_hi,vcode,nonagri,shop,office,godown,flag
sadar,73,31. मोदहा चौराहे से गद्दौपुर चौराहे (चुंगी चौराहा) तक,खोजनपुर,,37000,82600,78800,74800,
sadar,73,32. गद्दौपुर चौराहे (चुंगी चौराहा) से विकास प्राधिकरण रोड होते हुए लखनऊ मार्ग तक,अब्बूसराय,,37000,82600,78800,74800,
sadar,73,33. रिकाबगंज चौराहा-कसाब बाडा रोड से राजकीय इण्टर कालेज तक,खिड़की अलीबेग,,33200,77400,73600,69600,
sadar,73,34. नियावां चौराहे से हसनू कटरा तक,नियावां,,20000,59500,55700,51700,
sadar,73,34. नियावां चौराहे से हसनू कटरा तक,हसनूकटरा,,20000,59500,55700,51700,
sadar,73,34. नियावां चौराहे से हसनू कटरा तक,चक गौरापट्टी,,20000,59500,55700,51700,
sadar,73,34. नियावां चौराहे से हसनू कटरा तक,बेगमगंज गढैया,,20000,59500,55700,51700,
sadar,74,35. नियावां चौराहे से कैण्टोमेन्ट तक,नियावां,,29300,72100,68300,64300,
sadar,74,35. नियावां चौराहे से कैण्टोमेन्ट तक,बालक राम कालोनी,,29300,72100,68300,64300,
sadar,74,36. स्टेट बैंक चौराहे से जेल रोड तक,सिविल लाइन,,37000,82600,78800,74800,
sadar,74,37. रेलवे स्टेशन चौराहे से राजकीय इण्टर कालेज रेलवे क्रासिंग होते हुए इलाहाबाद रोड तक,सिविल लाइन,,37000,82600,78800,74800,
sadar,74,37. रेलवे स्टेशन चौराहे से राजकीय इण्टर कालेज रेलवे क्रासिंग होते हुए इलाहाबाद रोड तक,बेगमगंज मकबरा,,37000,82600,78800,74800,
sadar,74,38. हसनू कटरा चौराहे से परिक्रमा मार्ग तक,रेतिया,,12700,49600,45800,41800,
sadar,74,38. हसनू कटरा चौराहे से परिक्रमा मार्ग तक,हसनूकटरा,,12700,49600,45800,41800,
sadar,74,38. हसनू कटरा चौराहे से परिक्रमा मार्ग तक,छावनी बन्देअली,,12700,49600,45800,41800,
sadar,74,39. रिकाबगंज रोड पर हनुमान गढी के सामने आर्यकन्या स्कूल होते हुए नियांवा चौराहा तक,कन्धारीबाजार,,15400,53200,49400,45400,
sadar,74,39. रिकाबगंज रोड पर हनुमान गढी के सामने आर्यकन्या स्कूल होते हुए नियांवा चौराहा तक,नियांवा,,15400,53200,49400,45400,
sadar,74,39. रिकाबगंज रोड पर हनुमान गढी के सामने आर्यकन्या स्कूल होते हुए नियांवा चौराहा तक,बारापत्थर,,14700,52200,48400,44400,
sadar,74,40. रिकाबगंज रोड पर अन्नपूर्णा मंदिर के सामने से टकसाल होते हुए चौक फतेहगंज रोड तक,टकसाल,,38500,84700,80900,76900,
sadar,74,40. रिकाबगंज रोड पर अन्नपूर्णा मंदिर के सामने से टकसाल होते हुए चौक फतेहगंज रोड तक,बजाजा,,38500,84700,80900,76900,
sadar,74,41. रिकाबगंज चौक रोड पर दिल्ली क्लाथ हाउस की दूकान के बगल से मछरहट्टा तक,मछरहट्टा,,15400,53200,49400,45400,
sadar,74,41. रिकाबगंज चौक रोड पर दिल्ली क्लाथ हाउस की दूकान के बगल से मछरहट्टा तक,अंगूरीबाग,,16900,55300,51500,47500,
sadar,75,42. रिकाबगंज चौक रोड पर चौक पानी टंकी के बगल से स्टार बेकरी की दुकान तक,चौक,,38500,84700,80900,76900,
sadar,75,42. रिकाबगंज चौक रोड पर चौक पानी टंकी के बगल से स्टार बेकरी की दुकान तक,पानगली,,38500,84700,80900,76900,
sadar,75,43. चौक फतेहगंज रोड से आभा होटल तक,मोतीबाग,,36300,81600,77800,73800,
sadar,75,44. चौक फतेहगंज रोड पर कोठा पार्चा होते हुए एल0 जी0 चैम्बर से सलूजा साइकिल वर्क्स की दुकान के पीछे तक,कोठापार्चा,,38500,84700,80900,76900,
sadar,75,44. चौक फतेहगंज रोड पर कोठा पार्चा होते हुए एल0 जी0 चैम्बर से सलूजा साइकिल वर्क्स की दुकान के पीछे तक,जमुनिया बाग,,37000,82600,78800,74800,
sadar,75,45. चौक से रीडगंज रोड पर दर्शन लाल सर्राफ की दूकान के बगल कोठा पार्चा पीपल पेड तक,कोठापार्चा,,38500,84700,80900,76900,
sadar,75,46. चौक से रीडगंज रोड पर राजा शू कम्पनी की दूकान के बगल से शिव मंदिर होते हुए दोना गली लेकर कोठा पार्चा तक,कोठापार्चा,,38500,84700,80900,76900,
sadar,75,47. चौक से गुदडी बाजार रोड पर लायड गेट से पुराना प्राधिकरण भवन होते हुये रीडगंज चौराहा से साकेत प्रिंटिंग प्रेस तक,रीडगंज,,16200,54300,50500,46500,
sadar,75,48. रीडगंज चौराहा से अयोध्या रोड पर हनुमानगढ़ी मन्दिर तक,रीडगंज,,16200,54300,50500,46500,
sadar,75,48. रीडगंज चौराहा से अयोध्या रोड पर हनुमानगढ़ी मन्दिर तक,हमदानी कोठी,,16200,54300,50500,46500,
sadar,75,49. रिकाबगंज चौराहा से कसाब बाडा (महिला चिकित्सालय) रोड पर अलका राजे होटल के सामने गली में चौक रिकाबगंज रोड पर लाल बहादुर घड़ी की दुकान के पीछे तक,रिकाबगंज,,37800,83700,79900,75900,
sadar,76,50. चौक से रीडगंज रोड पर दरा (पुरानी नजूल आफिस) के बगल से रेलवे क्रासिंग तक,मुगलपुरा,,15400,53200,49400,45400,
sadar,76,50. चौक से रीडगंज रोड पर दरा (पुरानी नजूल आफिस) के बगल से रेलवे क्रासिंग तक,हैदरगंज,,13900,51100,47300,43300,
