sro,page,serial,vcode,village_hi,ward_hi,category,nonagri_lt9m,nonagri_9to18m,nonagri_ge18m,shop,office,godown,agri_nh,agri_state,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sadar,091,247,,नयापुरवा (रानोपाली),रानोपाली,नगरीय,9700,10400,11400,48000,44000,39900,,,,,,,
sadar,091,248,,नयी दुनिया मोहल्ला,राठ हवेली,नगरीय,11200,13200,13900,51500,47500,43400,,,,,,,
sadar,091,249,,नरायनपुर,हवेली अवध,अधिसूचित,2300,2600,3300,35500,31800,27700,65,53,45,43,65,30,
sadar,091,250,,नरियावां,हवेली अवध,अधिसूचित,2300,2600,3300,35500,31800,27700,65,53,45,43,65,30,
sadar,091,251,,नवीन नगर,कोट राम चन्दर,नगरीय,8300,9100,10000,43300,39300,35200,,,,,,,
sadar,091,252,,नहरबाग,नियावां,नगरीय,11400,12600,14400,52200,48200,44100,,,,,,,
sadar,091,253,,नाका,रामनगर,नगरीय,12600,13700,14400,52200,48200,44100,,,,,,,
sadar,091,254,,नाका मुजफरा,लालबाग,नगरीय,15800,17400,19200,58900,54900,50800,,,,,,,
sadar,091,255,,नारा,हवेली अवध,अधिसूचित,2300,2600,3300,35500,31800,27700,65,53,45,43,65,30,
sadar,091,256,,नियांवा,हवेली अवध,नगरीय,11400,12900,14400,52200,48200,44100,436,363,318,312,436,195,
sadar,091,257,,निर्मली कुण्ड,छावनी परिषद,नगरीय,8300,9100,10000,44000,40000,35900,,,,,,,
sadar,091,258,,निर्मोचन घाट,अवध खास,नगरीय,8300,9100,10000,43300,39300,35200,,,,,,,
sadar,091,259,,नील बिहार कालोनी(वि0प्रा0),रामनगर,नगरीय,11400,12600,14400,52200,48200,44100,,,,,,,
sadar,091,260,,नेव कबीरपुर,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,091,261,,नेवातीपुरा,लालबाग,नगरीय,15800,17400,19200,58900,54900,50800,,,,,,,
sadar,092,262,,नोनहटिया,बरहटा उपरहार,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,092,263,,नौगजी,मीरापुर डेरा बीबी,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,092,264,,नौघड़ा,राठ हवेली,नगरीय,8900,9800,10800,47500,43500,39400,,,,,,,
sadar,092,265,,पकरेला,अमसिन,ग्रामीण,2800,3000,3500,33600,30100,26600,73,61,55,54,73,34,
sadar,092,266,,पटेल नगर,लालबाग,नगरीय,8900,9800,10800,47800,43800,39700,,,,,,,
sadar,092,267,,पठान टोलिया,अमानीगंज,नगरीय,8900,9800,10800,47300,43300,39200,,,,,,,
sadar,092,268,,पदुमपुरी कालोनी,बहादुरगंज,नगरीय,11200,13300,13900,51500,47500,43400,,,,,,,
sadar,092,269,,पम्पारपुर,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,092,270,,परमानपुर,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,092,271,,पलिया टेकधर,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,092,272,,पलिया शाहबदी,हवेली अवध,अर्द्धनगरीय,5600,6500,6700,41000,37000,32900,212,173,155,152,212,94,
sadar,092,273,,पहाड़गंज ANP,हवेली अवध,नगरीय,11200,12300,12600,49600,45600,41500,436,363,318,312,436,195,
sadar,092,274,,पहाड़गंज BNP,हवेली अवध,अर्द्धनगरीय,8200,9000,9900,47800,43800,39700,328,268,243,238,328,149,
sadar,092,275,,पांजी टोला,अवध खास,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,092,276,,पाण्डेय बाजार,मीरापुर डेरा बीबी,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,092,277,,पानगली,चौक,नगरीय,27900,31400,37100,83700,79700,75600,,,,,,,
sadar,092,278,,पाराख़ान,हवेली अवध,अर्द्धनगरीय,5800,6400,6900,41900,37900,33800,93,76,67,66,93,42,
sadar,092,279,,पालकीखाना,रिकाबगंज,नगरीय,14900,17400,19200,58900,54900,50800,,,,,,,
