sro,page,serial,vcode,village_hi,ward_hi,category,nonagri_lt9m,nonagri_9to18m,nonagri_ge18m,shop,office,godown,agri_nh,agri_state,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
milkipur,50,109,1109,डीहभरथी,,ग्रामीण,6500,7500,8500,33000,31000,29000,0,50,45,43,55,30,
milkipur,50,110,1110,डफलपुर,,ग्रामीण,6500,7500,8500,33000,31000,29000,0,50,45,43,55,30,
milkipur,50,111,1111,डूड़ी,,ग्रामीण,12000,14000,16000,42000,40000,38000,0,75,65,60,85,33,
milkipur,50,112,1112,डीलीसरैया,,ग्रामीण,11000,12000,13000,39000,37000,36000,0,65,60,55,75,35,
milkipur,50,113,1113,डोभियारा,,ग्रामीण,11000,12000,13000,39000,37000,36000,0,65,60,55,75,35,
milkipur,50,114,1114,डीहपुरे बीरबल,,ग्रामीण,12000,14000,15000,41000,39000,38000,0,80,70,65,90,38,
milkipur,50,115,1115,ढोली आसकरन,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,55,50,45,65,34,
milkipur,50,116,1116,तारडीह उर्फ तरौली,,ग्रामीण,11000,12000,13000,39000,37000,36000,0,65,60,55,75,35,
milkipur,50,117,1117,ताजपुर,,ग्रामीण,6500,7500,8000,32000,30000,28000,0,50,45,42,55,28,
milkipur,50,118,1118,तिन्दौली,,ग्रामीण,9000,10000,11000,36000,34000,32000,0,63,58,52,75,36,
milkipur,50,119,1119,तालढोली,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,55,50,45,65,33,
milkipur,50,120,1120,तुलापुर,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,55,50,45,65,33,
milkipur,50,121,1121,तेन्धा,,ग्रामीण,12000,14000,16000,42000,40000,38000,125,70,65,60,80,38,
milkipur,50,122,1122,तरमा,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,55,50,45,65,33,
milkipur,50,123,1123,थमोली भंजन,,ग्रामीण,6500,7000,8000,32000,30000,28000,0,55,50,45,65,30,
milkipur,51,124,1124,दसौली,,ग्रामीण,6500,7500,8000,32000,30000,28000,0,50,45,43,55,28,
milkipur,51,125,1125,देवगीरि,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,55,50,45,65,33,
milkipur,51,126,1126,देवगांव,,ग्रामीण,12000,14000,16000,42000,40000,38000,0,75,65,60,85,39,
milkipur,51,127,1127,देवनपारा,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,56,51,46,70,35,
milkipur,51,128,1128,देवरिया(बारून),,ग्रामीण,14000,18000,20000,46000,44000,42000,150,95,85,80,110,48,
milkipur,51,129,1129,देवरा,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,51,46,43,61,30,
milkipur,51,130,1130,धनथुवा,,ग्रामीण,8000,9000,10000,35000,33000,31000,0,65,55,50,75,34,
milkipur,51,131,1131,धमथुवा,,ग्रामीण,8000,9000,10000,35000,33000,31000,0,65,55,50,75,34,
milkipur,51,132,1132,धनैचा,,ग्रामीण,10000,11000,12000,37000,35000,33000,110,70,65,60,80,35,
milkipur,51,133,1133,धौरहरा कालीचरन,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,60,55,50,70,31,
milkipur,51,134,1134,धौरहरा मुकन्दहा,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,60,55,50,70,31,
milkipur,51,135,1135,धरौली,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,60,55,50,70,31,
milkipur,51,136,1136,नरेन्द्राभादा,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,55,50,45,65,28,
milkipur,51,137,1137,निमड़ी,,ग्रामीण,10000,11000,12000,37000,35000,33000,0,70,65,60,80,35,
milkipur,51,138,1138,नेवली,,ग्रामीण,6500,7500,8500,33000,31000,29000,0,53,48,43,60,32,
milkipur,51,139,1139,नन्दौली,,ग्रामीण,8000,9000,10000,35000,33000,31000,0,60,55,50,70,34,
milkipur,51,140,1140,नवगवॉ,,ग्रामीण,8200,9000,10000,35000,33000,31000,0,70,60,55,80,34,
milkipur,52,141,1141,नागीपुर,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,55,50,45,65,29,
milkipur,52,142,1142,नरसड़ा,,ग्रामीण,10000,11000,12000,37000,35000,33000,0,65,55,50,75,34,
milkipur,52,143,1143,नियामतपुर,,ग्रामीण,8000,9000,10000,35000,33000,31000,0,60,51,46,70,32,
milkipur,52,144,1144,परसवाँ,,ग्रामीण,10000,11000,12000,37000,35000,33000,0,70,60,50,80,34,
milkipur,52,145,1145,परसपुर सथरा,,ग्रामीण,10000,11000,12000,37000,35000,33000,0,70,60,50,80,34,
milkipur,52,146,1146,पाराताजपुर,,ग्रामीण,12000,14000,16000,42000,40000,38000,0,75,65,60,85,35,
milkipur,52,147,1147,पलिया लोहानी,,ग्रामीण,12000,14000,16000,42000,40000,38000,0,75,65,60,85,35,
milkipur,52,148,1148,पाराखानी,,ग्रामीण,10000,11000,12000,37000,35000,33000,0,65,55,50,75,34,
milkipur,52,149,1149,पलिया प्रतापशाह,,ग्रामीण,12000,14000,16000,42000,40000,38000,0,75,65,60,85,35,
milkipur,52,150,1150,पाराधनथुवा,,ग्रामीण,10000,11000,12000,37000,35000,33000,0,65,60,55,75,32,
milkipur,52,151,1151,पूरावली,,ग्रामीण,6500,7000,7500,31000,29000,27000,0,50,40,36,55,23,
milkipur,52,152,1152,पुरा उर्फ सुमेरपुर,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,55,50,45,65,30,
milkipur,52,153,1153,पण्डोकिया,,ग्रामीण,6500,7500,8500,33000,31000,29000,0,51,46,43,58,28,
milkipur,52,154,1154,परसौली मु0 भिटौरा,,ग्रामीण,8000,9000,10000,35000,33000,31000,0,51,46,43,58,31,
milkipur,52,155,1155,पारा ब्रम्हनान,,ग्रामीण,14000,18000,20000,46000,44000,42000,140,90,80,75,105,35,
milkipur,52,156,1156,पूरबगांव,,ग्रामीण,7000,8000,9000,33000,31000,29000,0,55,50,45,65,28,
